Headline,Text,Sentiment
Is A Shale Comeback On The Horizon.html,"It’s been a tough year for U.S. shale. Even before the novel coronavirus pandemic pummeled oil markets, the shale revolution had been pronounced dead, with investors shying away from the Permian Basin and shale wells drying up across West Texas.  A slowdown in the U.S. shale revolution was inevitable. “The nature of shale wells is that they decline in production much more rapidly than conventional wells, leading to inevitable slowdowns such as what we are currently witnessing in the once almighty Permian,” Oilprice reported in the Fall of last year.  “Shale wells lose as much as 70 percent of their production in the first year, meaning that explorers have to constantly pour money into more drilling just to maintain production. By contrast, once up and running, conventional wells lose as little as 5 percent each year, providing a much more solid production outlook,” Bloomberg reported in the same month.  And then COVID-19 arrived to kick U.S. shale while it was down, plunging the West Texas Intermediate (WTI) crude benchmark into previously unthinkable negative territory. On April 20, the WTI didn’t just slump, it plummeted below zero, closing out the day at -$37.63 a barrel. The severe downturn in oil markets hit the Permian Basin hard, and the U.S. shale industry has been subsequently swept by a massive wave of bankruptcies and fired and furloughed employees.  Throughout the downturn, however, there have been some optimistic voices. Just two days after the WTI went negative, Oilprice reported on one industry expert that said oil could even hit $100 in the near future once demand bounces back and the supply isn’t there to meet it. Other experts predicted that the pandemic-fuelled recession could leave the U.S. shale sector with only its best players still standing, and that the post-COVID Permian could therefore be better and more resilient than ever. 
  Related: Trading Giant Books Record Profit During Oil Crisis Now, there seems to be even more cautious optimism in the field. “No company has more skin in the U.S. domestic shale game than ConocoPhillips and its CEO, Ryan Lance. Which is why, in the midst of this current, COVID-19 induced downturn, it was encouraging to see Lance talk optimistically about the prospects of an industry comeback taking place in the coming months,” Forbes reported this week.  Forbes’ analysis is based on an interview that Lance had with IHS Markit Vice Chairman Dan Yergin, in which the CEO said that ConocoPhillips is considering beginning to reactivate shut-in wells in the Permian as their first steps to easing back into the market. “We’re thinking of slowly coming back into the market over the next few months and reducing the amount we’ve got curtailed because we’re seeing some strengthening in the price,” Lance was quoted. ConocoPhillips would be the biggest, but certainly not the first company to begin putting its Permian production back online. With this move they would “join other big Permian Basin producers like EOG Resources, Concho Energy and Parsley Energy” according to Forbes. 
 This does not mean, however, that shale will bounce back in the immediate future. A “v-shaped” recovery curve is highly unlikely. “Shale's not broke, shale’s not gone, shale will come back,” Lance was quoted. “But I do think it comes back slower because there is going to be pressure on companies to confine their capital program and maybe not grow as dramatically as before, because I don’t think the access to capital and investor community is going to be as robust as it was over the past decade.” This is not necessarily a bad thing. In fact, many experts say that economic recovery depends on whether the shale sector is able to practice restraint and take it slow.  “There’s a double risk on the horizon,” writes Julian Lee in an opinion piece for Bloomberg last month. “Just as lifting lockdowns too soon could bring a second spike in virus infections and deaths, loosening the hard-fought restraint in oil production too soon risks a second oil-price collapse.” And it’s not just U.S. recovery that’s at risk. If the U.S. shale industry doesn’t play its cards right, it could compromise the entire global oil market recovery. ",Positive
Country With Worlds Largest Oil Reserves Has Only One Rig Left.html,"The collapse in oil prices and the tightening U.S. sanctions against Venezuela have accelerated the decline of the oil industry in the country sitting on the largest crude oil reserves in the world.   As of May, Venezuela’s rig count plunged to just two, data from Baker Hughes shows, as production slipped by 16 percent to 645,700 barrels per day (bpd), Bloomberg reported on Thursday, citing documents containing production data it has seen. Of the two active rigs in Venezuela last month, one was working at an oilfield and another one was drilling for gas, according to Bloomberg. Those rigs are working in the Orinoco oil belt, where Venezuela’s state oil firm PDVSA operates oilfields in joint ventures with foreign firms, sources familiar with the matter told Bloomberg.   
 Venezuela’s oil industry was collapsing even before the oil price crash and the pandemic, due to the increasingly stricter sanctions in the U.S. maximum pressure campaign against Nicolas Maduro’s regime and its sources of revenues. Oil income is pretty much the only hard currency that Maduro gets, so the U.S. is looking to stifle as much of Venezuela’s oil trade as possible. In addition, PDVSA is severely cash-strapped and hasn’t invested in repair and maintenance of oil facilities and refineries in years. The price crash and the COVID-19 pandemic further exacerbated the crisis in Venezuela’s oil sector and PDVSA started shutting oilfields because of fewer international customers for Venezuelan oil, Bloomberg reports.
 In March, Venezuela had 25 operational oil and gas rigs, according to the Baker Hughes international rig count data. Venezuela has seen some reprieve recently in its fuel shortage problem, after Iranian tankers shipped gasoline and refining components to the Latin American country in an open defiance of the U.S. sanctions. Maduro’s regime tried to alleviate the fuel shortage in the country home to the world’s biggest oil reserves, but a new scheme of subsidized gasoline failed to put an end to the long lines in which Venezuelans queued to fill their cars with fuel.    ",Negative
Trading Giant Books Record Profit During Oil Crisis.html,"Commodity trading giant Trafigura reported a 27-percent increase in its net profit for the first half of its financial year, to March 31, citing strong physical trade in crude oil. Commenting on its results, the company said that “They show a strong performance by both trading divisions driven by significant volatility and dislocations in the global market, which make the physical trading and risk management activities of specialist companies such as Trafigura more relevant than ever.” Thanks to its strong position in an industry in turmoil, Trafigura noted its first-half net result was the best six-month result on record.
 The commodity major is also well position to benefit from the beginning improvement in oil demand. In late May, Reuters reported Trafigura had establishes a dominant trading position in North Sea oil, chartering 14 cargoes of local crude oil blends, benefiting from the fast and sharp change in prices driven by the OPEC+ cuts and still cheap freight rates. Besides oil trading, Trafigura also benefited from the new International Maritime Organisation’s emission rules that came into effect in January. “The Shipping and Chartering business also delivered a very strong performance having positioned itself strategically with an increased fleet and a sizeable equity position to benefit from the expected IMO 2020 market disruption, which did materialize,” Trafigura said.
 “Disruptions caused by OFAC sanctions that removed available VLCC tonnage and the deep contango market arising from COVID-19 oil demand drop supported freight rates and further enhanced the performance.” Yet not all may be rosy for the company. Last month The Guardian reported, without citing sources, that Trafigura was being investigated by the U.S. Commodities and Futures Trading Commission on allegations of corruption and market manipulation in crude oil trading. According to the unconfirmed report, the CFTC had issued subpoenas to a group of people with the order to hand over all information they have regarding the company’s activities for the last four years at least that may suggest “manipulation and corruption involving oil products and trading”.",Positive
Is This The Worlds Next Oil Hotspot.html,,Positive
Are Hedge Funds Done With Oil.html,"Things have been happening increasingly fast in the oil industry, especially with prices. With so much volatility around, price movements are quick and often surprising. Right now, the general optimism on oil markets is in decline, because of the latest price rally. It may sound counterintuitive, but it is, in fact, easy to explain. The prices of Brent and West Texas Intermediate have doubled since April. In the case of WTI, the rally was a lot higher than a doubling, too, if we take into account the swing below zero. As a result of this rally, there are already reports that U.S. shale oil producers are restarting shut-in production, and there are opinions from senior energy officials from OPEC+ members that the market is due for a deficit before the end of this year. Such opinions should have been bullish for oil, pushing prices even higher. Yet this hasn’t been the case. In fact, according to Reuters’ John Kemp, hedge funds have sharply reduced their oil contract buying. In his latest column on the topic, Kemp noted that funds had only bought 6 million barrels in the week to June 2. This was the lowest level of buying for the last nine weeks, Kemp noted. The expectation that U.S. shale drillers need just a little bit of push to start pumping more again must have been part of the changing sentiment. Another part was probably the disappointment that OPEC+ did not extend its deep production cuts for more than a month. OPEC may have discussed the option of a longer extension, but public reports did not mention it. Yet traders apparently expected a longer extension and remained unmoved by the actual extension, their sentiment reflecting on prices and barely moving them up. What’s more, there may be more bad news on the horizon. In a note earlier this week, Morgan Stanley said that the current oil price rally wouldn’t be a lasting one.
 The bank said this rally “appears mostly supply- rather than demand-driven, and it is questionable how strong refinery runs can increase against this backdrop.”  Related: Is Shell’s Dividend Cut Permanent? Indeed, we have yet to see how demand improves across the world, although the latest oil import and refinery run data from China is certainly encouraging. Oil shipments into the world’s largest importer hit an all-time high last month, at 11.34 million bpd, according to official customs data. Traffic figures from TomTom supported the impression of a strong recovery, suggesting that fuel demand was also on the rise. The question remains, however, how long will it take for this demand improvement to spread and will it be sustainable. Another question that is important in this context is when China will stop buying record amounts of crude. After all, refiners and traders spent the lockdown months stocking up on cheap—a lot cheaper than it is now—oil. The state also filled its oil reserves. In other words, China may have insulated itself from sharp oil price jumps for a while, at least. If prices rise too high, it will reduce buying, and this will pressure prices.
 But there is another perspective, too. A drilling industry executive told media last week that WTI could jump to as much as $70 in a few months because U.S. producers cut output too much too fast, which will cause a “mini-supply shock” on the local market. WTI has not traded at $70 or above since 2018. There are a lot of scenarios for oil, and when there are a lot of scenarios, traders get jumpier than usual, especially when every scenario has a relatively equal chance of playing out. With so many uncertainties still surrounding the coronavirus that prompted the lockdowns, which drained oil demand, and will uncertainties around the economic recovery of major oil consumers, price volatility will remain excessive. That’s about the only thing that is certain right now. Where prices will be tomorrow, on the other hand, is anyone’s guess.",Negative
The Real Reason China Is Importing So Much Oil.html,"China smashed its crude oil imports record in May as manufacturing activity picked up and lockdowns eased. Amid recovering demand for gasoline and diesel, China’s total demand is nearly back up to pre-coronavirus levels, which prompted refineries to ramp up crude processing rates.   On the face of it, China’s record crude oil imports last month are attributable to returning business activity and commuting, while road freight transportation gets a boost from deliveries of surging online sales. Yet, several other factors contributed to China’s record imports of crude oil in May.    The lowest oil price in years was the key driver of the boom in China’s crude imports in May—a month in which both its exports and imports suffered due to weak global demand amid lockdowns. China imported 47.97 million tons of crude oil in May, equal to a record-high 11.34 million bpd, preliminary data from the Chinese General Administration of Customs showed on Sunday.   According to data from IHS Markit, most of the record-high imports are indeed attributable to recovering oil demand in China, which was expected at 92 percent of ‘normal’ demand in May.  According to Wood Mackenzie, China’s oil demand is set to recover to 13 million bpd in the second quarter of 2020, up by 16.3 percent from Q1.  
  “China’s demand for gasoline and diesel are expected to increase YoY from Q3 2020 onwards,” the consultancy said at the end of May, adding that eased lockdowns and a preference for commuting in personal vehicles will push gasoline demand to a quick recovery. Gasoline demand will likely return to last year’s levels by June 2020.  Related: OPEC+ Agrees On Extending Record Output Cuts But the lowest oil prices in four years also triggered opportunistic buying from Chinese refiners. According to China’s preliminary customs data from Sunday, crude oil imports rose by 5.2 percent year-over-year between January and May – even though most of the time, China was under lockdown during this period. The value of the crude imports in U.S. dollars was down by 19.6 percent in the first five months of 2020, as per customs data, suggesting that low oil prices played an important part in China’s steady crude imports so far this year and the record-high imports in May. The 15-percent jump in imports in May compared to April “does not mean that Chinese consumption has fully recovered from Covid-19. Instead, this is most likely just opportunistic buying, given the low price environment the market has been in for the last few months,” ING strategists Warren Patterson and Wenyu Yao said on Monday. In recent weeks, China has been taking advantage of the cheapest crude oil in years to stock up as demand returns in the world’s largest oil importer. As of the middle of May, a huge fleet of 117 very large crude carriers (VLCCs) – each capable of shipping 2 million barrels of oil – was traveling to China for unloading at its ports between the middle of May and the middle of August, according to tanker-tracking data compiled by Bloomberg. China’s independent refiners--the so-called teapots—continued to actively procure oil in May, most likely because of the low prices, oil analytics firm OilX said last week, estimating that crude oil imports jumped by 13 percent from April to near record-highs of 11.11 million bpd in May. There has been a steady recovery in Chinese refinery crude processing rates in recent weeks to warrant higher imports. Still, at least some of the increased crude intake can be attributed to the Shanghai INE crude futures trading at a premium over other deliverable grades, OilX said.   Since April, Chinese hedge funds have been betting big on an oil price recovery on the Shanghai crude futures, which has led to major Chinese state oil firms, including PetroChina and Sinopec, delivering oil into the crude oil futures contract. 
  Related: OPEC+ Deal Fails To Give Prices Major Boost Yet another reason for China’s record oil imports could be the country anticipating further tensions in the U.S.-China trade relations, TS Lombard analyst Bo Zhuang told the Financial Times on Sunday. “China wants to fill up its oil tanks and soybean warehouses in case it couldn’t import these materials freely,” Zhuang told FT. China’s crude oil imports could slow down in the second half of the year, considering the rising oil prices and the uncertain global economic recovery, which could further stall demand for Chinese goods overseas. In addition, the upcoming refinery maintenance season and independents using up their import quotas could mean Beijing’s crude oil imports may not be as strong in the second half as in May, Michal Meidan, head of China research at the Oxford Institute for Energy Studies, told Bloomberg.   ",Neutral
Is OPECs No2 Finally Complying With Output Cuts.html,"OPEC’s second-largest producer, Iraq, which also happens to be the least compliant member of OPEC+ since the group started managing supply to the market in 2017, may have finally started taking its obligations seriously. Iraq’s State Oil Marketing Organization (SOMO) has asked some of the Asian buyers of its Basrah crude grades if they could give up delivery of some already contracted cargoes for loading this month and next, sources familiar with the matter told Bloomberg News on Tuesday. The request for buyers to forgo some cargoes for those months suggests that this time, Iraq may be earnest in its attempt to play ball in the OPEC+ production cuts, after being the biggest cheater in all previous pacts.
 Iraq’s (as well as Nigeria’s) non-compliance with the record OPEC+ cuts in May nearly wrecked last week’s meeting of the pact, ahead of which the two leaders of the group, Saudi Arabia and Russia, had insisted that there would be an extension by one month to the current level of cuts only if laggards in compliance ensured over-compliance going forward to compensate for flouting their quotas so far. OPEC+ agreed on Saturday to extend the record production cuts of 9.7 million bpd by one month through the end of July, contingent on all countries in the pact complying 100 percent with their quotas and compensating for lack of compliance by overachieving in the cuts in July, August, and September. Before the meeting, Iraqi Deputy Prime Minister and then-acting Oil Minister, Ali Allawi, vowed that his country would further reduce production as it remains committed to the OPEC+ pact.
 At the video news conference following the OPEC+ meeting, Saudi Arabia’s Energy Minister, Prince Abdulaziz bin Salman, emphatically said on Monday that “We have no room whatsoever for lack of conformity.” Today, Iraq’s new Oil Minister, Ihsan Abdul Jabbar Ismaael, confirmed in a phone call with his Saudi counterpart Iraq’s “full commitment” to the cuts, OPEC said in a press release on Tuesday. Iraq confirms “its commitment to the voluntary oil production adjustments of June and July 2020, as well as the voluntary adjustments for the period following the end of July, despite the economic and financial challenges,” Ismaael told the Saudi energy minister. ",Positive
Libyas Largest Oil Field Shuts Down Just One Day After It Restarted.html,"Armed individuals entered Libya’s largest oil field, El Sharara, just a day after reports said the field had restarted production after months of idling amid the ongoing civil war. Another force majeure has been declared. Reuters quotes the National Oil Corporation as saying the “armed force” had told the workers on the field to stop working just hours after they had begun planned maintenance at the field. NOC itself told its employees not to obey that order. Details about the armed force were not disclosed. ""The armed group, which came from Sebha, stormed the Sharara oilfield and pulled their guns on civilian unarmed workers, coercing them to stop production at the field at dawn,"" the NOC said in a Tuesday statement.
 The first production phase at Sharara was supposed to begin at a capacity of 30,000 bpd, Libya’s state oil firm said in a statement, noting that production was expected to return to full capacity within 90 days due to the damages caused by the long shutdown. The field has a total production capacity of 300,000 bpd. Libya also restarted a second oilfield over the weekend, the 70,000-bpd El Feel which is linked to Sharara, a field engineer told Reuters on Sunday. Libya’s oil industry ground to halt after the Libyan National Army, a group affiliated with the eastern government of Libya, blockades the oil export terminals of the country. The blockade was part of the LNA’s offensive against Tripoli and the UN-supported government.
 Fighting has been ongoing since then, with oil production falling from over 1 million bpd to less than 100,000 bpd, with exports shrinking by 92 percent between January and May. The NOC also said last month the total losses incurred from the blockade and the production outages had reached $5 billion. “The first quarter of 2020 was a huge decrease in revenues for Libya, as a direct result of the illegal blockade of numerous oil and gas facilities. This is only part of the picture, as the corrosion in pipes caused by still oil and salt water is resulting in physical damage that will cost millions to fix when the crisis is over,” NOC’s chairman, Mustafa Sanalla said in late May.",Negative
Libya To Boot Production At Its Largest Oilfield.html,"Civil war-torn Libya has resumed oil production at its biggest oilfield, hoping to put an end to the bitter infighting that has crippled its oil output since the beginning of the year, but it is now giving OPEC and its allies another concern about rising supply just as OPEC+ extended its deep 9.7-million-bpd cuts by one month to the end of July. Libya’s oil industry has been in total disarray after a group of paramilitary formations affiliated with the Libyan National Army (LNA) of eastern Libyan strongman General Khalifa Haftar occupied Libya’s oil export terminals in January along with pipelines and fields. The blockade came amid continued fighting between the LNA, which is loyal to the eastern Libyan government, and the forces loyal to the Government of National Accord (GNA), which is recognized by the United Nations. As a result of the blockade, Libya’s oil production –which had stood at more than 1 million bpd at the start of January – collapsed to less than 100,000 bpd.
 Last week, the GNA said it had taken full control of Tripoli from Haftar’s LNA. Libya’s National Oil Corporation (NOC) said on Sunday that production at the 300,000-bpd Sharara oilfield had resumed after negotiating the opening of an oilfield valve that had been closed since January. The first production phase at Sharara will begin at a capacity of 30,000 bpd, Libya’s state oil firm said in a statement, noting that production is expected to return to full capacity within 90 days due to the damages caused by the long shutdown.
 Libya also restarted a second oilfield over the weekend, the 70,000-bpd El Feel which is linked to Sharara, a field engineer told Reuters on Sunday. The U.S. Embassy in Libya welcomed the re-opening of the Sharara oilfield, saying that “Now is the time for all responsible parties to reject attempts to militarize the energy sector & subjugate critical infrastructure to foreign interests.” While the resumption of much-needed oil production is crucial for Libya’s oil revenues and economy, the restart of Libyan oilfields could give OPEC+ another headache over the next few months, on top of the uncertainty about demand recovery. If Libya, which is exempt from the OPEC+ cuts, returns to pumping 1 million bpd in the coming months, “it would prove to be a bit of headache to OPEC+,” ING strategists Warren Patterson and Wenyu Yao said on Monday.",Neutral
Deep Output Cuts Could Cause Long Lasting Deficit In Oil Markets.html,"The forced oil production shutdowns and the extension of the generous OPEC+ voluntary cuts into July will not only balance the Covid-19-hit global crude and condensate demand, but are deep enough to create a monthly deficit starting from June 2020 and continuing uninterrupted until at least the end of next year, a Rystad Energy analysis shows. The oversupply, which sent WTI oil prices into the negative earlier this year, is a thing of the past as long as OPEC+ compliance stays strong and the oil demand recovery trajectory isn’t radically altered. The last surplus month appears to have been May, when crude and condensate production exceeded demand by about 6.1 million barrels per day (bpd). June is now already set for a global production deficit of about 1.5 million bpd. The imbalance is forecast to reach 4.6 million bpd in July, 4.2 million bpd in August and, after being reduced a little during the remainder of 2020, peak at 5.2 million bpd in January 2021. Although the shortfall will ease after that, Rystad Energy estimates that monthly deficits will remain throughout next year. “We believe OPEC+ is attempting to create a mini-bull-cycle by quickly tightening the prompt market, helping depressed prices and creating a supply environment that will facilitate a rapid relief of oil storages, as deficits will trigger large stock draws,“ says Rystad Energy’s Head of Oil Markets Bjørnar Tonhaugen.  Rystad Energy estimates that global crude and condensate production will stay below 80 million bpd for all the remaining months of 2020. Output will likely reach 71.4 million bpd in June and grow monthly to a high of 78.4 million bpd in December. Demand, on the other hand, is set to reach 72.9 million bpd already in June 2020 and exceed 80 million bpd from September onwards, reaching an annual monthly high of 82.3 million bpd in December. “However, if the oil price continues its steady ascension, this will spur reactivation of parts of the curtailed US oil production. Also, if frac crews end their holidays early, US volumes may be coming back more quickly than OPEC+ expects, bridging part of the deficit,“ adds Tonhaugen.",Positive
OPEC Agrees On Extending Record Output Cuts.html,"OPEC and its partners concluded their meeting on Saturday afternoon, announcing that it would extend its current production cut deal. Algeria’s Energy Minister Mohamed Arkab, OPEC’s current President summed up the group’s sentiment by saying that ""Despite the progress achieved to date, we cannot afford to rest on our laurels,''. The last couple of days, the cartel’s de-facto leader Saudi Arabia negotiated with other OPEC members and some non-OPEC countries including Russia, Kazakhstan and Azerbaijan to extend the current 9.7 million bpd output cuts for at least another month.
 Most countries partaking in the record production cuts were willing to continue the current deal, but poor compliance from countries like Iraq, Nigeria and Kazakhstan has caused discontent among other OPEC members, some of which have even made deeper cuts than agreed on in April. During the virtual meeting on Saturday, the cartel agreed that the countries that were unable to reach full conformity in May and June will have to compensate for this in July, August and September. Oil prices effectively doubled during the month of May as global demand started to recover and record output cuts and worldwide well shut-ins decreased the monster glut. 
 While the OPEC+ deal extension undoubtedly will have a bullish effect on markets, prices aren’t likely to rip much higher on Monday as the OPEC+ news has largely been priced in already.  For oil prices to make a full recovery, global demand will have to recover and crude inventories have to be drawn down, both of which will likely take up to two years. Pioneer’s Scott Sheffield said that the quick rebound of demand to around 94-95 mb/d following the “reopening” of so many economies will give way to stagnation, saying that demand won’t reach pre-pandemic levels until 2022 or even 2023. For now, the next bullish catalyst for oil could come from Saudi Aramco, which could set the trend for higher oil prices in June as it is expected to release its OSPs (official selling prices) on Monday. Aramco’s OSPs are often a leading indicator for Iraqi, Iranian and Kuwaiti crude prices, and last month, Brent futures rallied after Riyadh hiked its prices for crude to Asia.",Positive
